Dataset,Model,Batch Size,Optimizer,Learning Rate,pin_memory,Epochs,Test Accuracy (%),Train Time (ms)
MNIST,RESNET18,16,SGD,0.001,False,3,98.76,245250.06
MNIST,RESNET50,16,SGD,0.001,False,3,98.69,468763.63
MNIST,RESNET18,16,SGD,0.0001,False,3,96.67,220060.08
MNIST,RESNET50,16,SGD,0.0001,False,3,95.88,470160.05
MNIST,RESNET18,16,Adam,0.001,False,3,98.06,231682.36
MNIST,RESNET50,16,Adam,0.001,False,3,98.02,487723.98
MNIST,RESNET18,16,Adam,0.0001,False,3,98.88,260577.4
MNIST,RESNET50,16,Adam,0.0001,False,3,98.52,458691.92
MNIST,RESNET18,32,SGD,0.001,False,3,98.46,122399.23
MNIST,RESNET50,32,SGD,0.001,False,3,98.62,249308.74
MNIST,RESNET18,32,SGD,0.0001,False,3,89.44,136072.29
MNIST,RESNET50,32,SGD,0.0001,False,3,88.04,249043.59
MNIST,RESNET18,32,Adam,0.001,False,3,97.31,130535.49
MNIST,RESNET50,32,Adam,0.001,False,3,97.76,254275.85
MNIST,RESNET18,32,Adam,0.0001,False,3,98.61,135273.53
MNIST,RESNET50,32,Adam,0.0001,False,3,96.73,264161.09
MNIST,RESNET18,16,SGD,0.001,True,5,99.2,273568.03
MNIST,RESNET50,16,SGD,0.001,True,5,99.11,674011.09
MNIST,RESNET18,16,SGD,0.0001,True,5,97.7,303439.27
MNIST,RESNET50,16,SGD,0.0001,True,5,97.27,677056.49
MNIST,RESNET18,16,Adam,0.001,True,5,98.19,318616.78
MNIST,RESNET50,16,Adam,0.001,True,5,98.46,710794.83
MNIST,RESNET18,16,Adam,0.0001,True,5,99.15,299467.3
MNIST,RESNET50,16,Adam,0.0001,True,5,98.24,701194.75
MNIST,RESNET18,32,SGD,0.001,True,5,98.95,167234.09
MNIST,RESNET50,32,SGD,0.001,True,5,98.67,400775.17
MNIST,RESNET18,32,SGD,0.0001,True,5,96.59,195960.84
MNIST,RESNET50,32,SGD,0.0001,True,5,94.21,386381.3
MNIST,RESNET18,32,Adam,0.001,True,5,98.96,197057.97
MNIST,RESNET50,32,Adam,0.001,True,5,98.75,386809.83
MNIST,RESNET18,32,Adam,0.0001,True,5,98.71,184188.67
MNIST,RESNET50,32,Adam,0.0001,True,5,98.02,426734.91
FashionMNIST,RESNET18,16,SGD,0.001,False,10,92.06,754837.72
FashionMNIST,RESNET50,16,SGD,0.001,False,10,91.97,1521709.69
FashionMNIST,RESNET18,16,SGD,0.0001,False,10,90.41,756250.35
FashionMNIST,RESNET50,16,SGD,0.0001,False,10,89.63,1576413.17
FashionMNIST,RESNET18,16,Adam,0.001,False,10,92.11,813740.52
FashionMNIST,RESNET50,16,Adam,0.001,False,10,89.11,1515758.77
FashionMNIST,RESNET18,16,Adam,0.0001,False,10,92.43,736246.05
FashionMNIST,RESNET50,16,Adam,0.0001,False,10,92.6,1566917.67
FashionMNIST,RESNET18,32,SGD,0.001,False,10,90.59,440407.02
FashionMNIST,RESNET50,32,SGD,0.001,False,10,89.71,831715.0
FashionMNIST,RESNET18,32,SGD,0.0001,False,10,88.86,434387.13
FashionMNIST,RESNET50,32,SGD,0.0001,False,10,85.04,839099.72
FashionMNIST,RESNET18,32,Adam,0.001,False,10,91.12,441003.79
FashionMNIST,RESNET50,32,Adam,0.001,False,10,50.81,837580.05
FashionMNIST,RESNET18,32,Adam,0.0001,False,10,92.06,431569.2
FashionMNIST,RESNET50,32,Adam,0.0001,False,10,92.43,870066.8
FashionMNIST,RESNET18,16,SGD,0.001,True,5,92.04,285146.37
FashionMNIST,RESNET50,16,SGD,0.001,True,5,91.64,663532.23
FashionMNIST,RESNET18,16,SGD,0.0001,True,5,88.04,303969.01
FashionMNIST,RESNET50,16,SGD,0.0001,True,5,83.75,671227.97
FashionMNIST,RESNET18,16,Adam,0.001,True,5,90.62,322159.42
FashionMNIST,RESNET50,16,Adam,0.001,True,5,89.71,707961.52
FashionMNIST,RESNET18,16,Adam,0.0001,True,5,91.89,322561.24
FashionMNIST,RESNET50,16,Adam,0.0001,True,5,90.49,712771.05
FashionMNIST,RESNET18,32,SGD,0.001,True,5,91.17,177469.34
FashionMNIST,RESNET50,32,SGD,0.001,True,5,90.26,403767.83
FashionMNIST,RESNET18,32,SGD,0.0001,True,5,84.76,195936.32
FashionMNIST,RESNET50,32,SGD,0.0001,True,5,78.25,393447.41
FashionMNIST,RESNET18,32,Adam,0.001,True,5,89.49,198463.44
FashionMNIST,RESNET50,32,Adam,0.001,True,5,86.31,405195.86
FashionMNIST,RESNET18,32,Adam,0.0001,True,5,91.7,168308.77
FashionMNIST,RESNET50,32,Adam,0.0001,True,5,91.22,380706.03
