Compute,Batch Size,Optimizer,Learning Rate,Model,Test Accuracy (%),Train Time (ms),FLOPs,FLOPs (formatted)
CUDA,16,SGD,0.001,RESNET18,87.24,62191.88,1823526912.0,1.824G
CUDA,16,SGD,0.001,RESNET32,23.11,169953.92,3449098944.0,3.449G
CUDA,16,SGD,0.001,RESNET50,85.69,137549.0,4131715072.0,4.132G
CUDA,16,Adam,0.001,RESNET18,84.14,54970.23,1823526912.0,1.824G
CUDA,16,Adam,0.001,RESNET32,19.51,171162.57,3449098944.0,3.449G
CUDA,16,Adam,0.001,RESNET50,77.15,142669.08,4131715072.0,4.132G
CPU,16,SGD,0.001,RESNET18,87.4,1149298.96,1823526912.0,1.824G
CPU,16,SGD,0.001,RESNET32,21.42,4602191.18,3449098944.0,3.449G
CPU,16,SGD,0.001,RESNET50,83.47,4234739.54,4131715072.0,4.132G
CPU,16,Adam,0.001,RESNET18,78.41,1080025.03,1823526912.0,1.824G
CPU,16,Adam,0.001,RESNET32,27.52,4696243.79,3449098944.0,3.449G
CPU,16,Adam,0.001,RESNET50,82.77,4151351.14,4131715072.0,4.132G
CUDA,16,SGD,0.001,RESNET18,91.23,300904.45,1823526912.0,1.824G
CUDA,16,SGD,0.001,RESNET32,35.81,847027.99,3449098944.0,3.449G
CUDA,16,SGD,0.001,RESNET50,91.29,609898.94,4131715072.0,4.132G
CUDA,16,Adam,0.001,RESNET18,90.38,294351.74,1823526912.0,1.824G
CUDA,16,Adam,0.001,RESNET32,10.65,854504.04,3449098944.0,3.449G
CUDA,16,Adam,0.001,RESNET50,89.47,688280.77,4131715072.0,4.132G
CPU,16,SGD,0.001,RESNET18,91.89,6218032.38,1823526912.0,1.824G
CPU,16,SGD,0.001,RESNET32,43.93,25687683.97,3449098944.0,3.449G
CPU,16,SGD,0.001,RESNET50,91.06,20673186.41,4131715072.0,4.132G
CPU,16,Adam,0.001,RESNET18,90.34,5438881.32,1823526912.0,1.824G
CPU,16,Adam,0.001,RESNET32,41.83,25835262.65,3449098944.0,3.449G
CPU,16,Adam,0.001,RESNET50,88.07,20797974.71,4131715072.0,4.132G
