Dataset,Kernel,C,Gamma,Degree,Test Accuracy (%),Train Time (ms)
MNIST,poly,0.1,scale,2,93.46,409251.88
MNIST,poly,0.1,scale,3,85.04,692774.71
MNIST,poly,0.1,auto,2,92.99,453747.04
MNIST,poly,0.1,auto,3,82.0,794029.65
MNIST,poly,1.0,scale,2,96.96,163040.45
MNIST,poly,1.0,scale,3,95.51,297669.21
MNIST,poly,1.0,auto,2,96.79,174858.3
MNIST,poly,1.0,auto,3,95.0,703549.25
MNIST,poly,10.0,scale,2,97.61,286093.36
MNIST,poly,10.0,scale,3,97.61,532411.08
MNIST,poly,10.0,auto,2,97.58,309669.14
MNIST,poly,10.0,auto,3,97.54,471045.87
MNIST,rbf,0.1,scale,-,92.74,754194.54
MNIST,rbf,0.1,auto,-,92.89,695220.38
MNIST,rbf,1.0,scale,-,96.26,369843.79
MNIST,rbf,1.0,auto,-,96.24,345413.94
MNIST,rbf,10.0,scale,-,96.99,368091.59
MNIST,rbf,10.0,auto,-,96.97,440640.94
FashionMNIST,poly,0.1,scale,2,83.51,820980.42
FashionMNIST,poly,0.1,scale,3,81.22,1088308.21
FashionMNIST,poly,0.1,auto,2,83.51,946340.96
FashionMNIST,poly,0.1,auto,3,81.22,1098082.04
FashionMNIST,poly,1.0,scale,2,88.33,517712.66
FashionMNIST,poly,1.0,scale,3,87.93,578590.05
FashionMNIST,poly,1.0,auto,2,88.32,529164.13
FashionMNIST,poly,1.0,auto,3,87.93,640139.3
FashionMNIST,poly,10.0,scale,2,89.84,367437.95
FashionMNIST,poly,10.0,scale,3,89.49,503549.86
FashionMNIST,poly,10.0,auto,2,89.84,394533.81
FashionMNIST,poly,10.0,auto,3,89.49,482755.13
FashionMNIST,rbf,0.1,scale,-,84.72,660813.01
FashionMNIST,rbf,0.1,auto,-,84.72,658354.27
FashionMNIST,rbf,1.0,scale,-,88.87,461072.51
FashionMNIST,rbf,1.0,auto,-,88.87,458098.79
FashionMNIST,rbf,10.0,scale,-,89.89,479740.41
FashionMNIST,rbf,10.0,auto,-,89.89,452963.57
