epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,4.96208637786634,0.10994954757476354,10.994954757476354,1773400828,,False,1,28792536,2026-03-13_16-50-28,44.72546577453613,44.72546577453613,3948130,user-SSI100C3A-48,10.6.0.87,44.72546577453613,1
2,3.9271813063188032,0.10895442669921611,10.89544266992161,1773400871,,False,2,28792536,2026-03-13_16-51-11,42.499452114105225,87.22491788864136,3948130,user-SSI100C3A-48,10.6.0.87,87.22491788864136,2
3,3.3892417605717977,0.16694570934954903,16.694570934954903,1773400914,,False,3,28792536,2026-03-13_16-51-54,42.66893291473389,129.89385080337524,3948130,user-SSI100C3A-48,10.6.0.87,129.89385080337524,3
4,2.983681021892663,0.42081994526756683,42.08199452675668,1773400956,,False,4,28792536,2026-03-13_16-52-36,42.66203045845032,172.55588126182556,3948130,user-SSI100C3A-48,10.6.0.87,172.55588126182556,4
5,2.6404174678975885,0.16260574635608946,16.260574635608947,1773400999,,False,5,28792536,2026-03-13_16-53-19,42.85976195335388,215.41564321517944,3948130,user-SSI100C3A-48,10.6.0.87,215.41564321517944,5
6,2.3481626390688346,0.589770496293735,58.977049629373504,1773401042,,False,6,28792536,2026-03-13_16-54-02,43.08882236480713,258.5044655799866,3948130,user-SSI100C3A-48,10.6.0.87,258.5044655799866,6
7,2.085017734296394,0.589770496293735,58.977049629373504,1773401085,,False,7,28792536,2026-03-13_16-54-45,43.18708848953247,301.69155406951904,3948130,user-SSI100C3A-48,10.6.0.87,301.69155406951904,7
8,1.858272356120023,0.4259843462883059,42.59843462883059,1773401128,,False,8,28792536,2026-03-13_16-55-28,42.88921093940735,344.5807650089264,3948130,user-SSI100C3A-48,10.6.0.87,344.5807650089264,8
9,1.6495819091796875,0.38129445667391737,38.129445667391735,1773401171,,False,9,28792536,2026-03-13_16-56-11,43.163681745529175,387.74444675445557,3948130,user-SSI100C3A-48,10.6.0.87,387.74444675445557,9
10,1.4746456516872752,0.5387044251994753,53.870442519947524,1773401214,,False,10,28792536,2026-03-13_16-56-54,42.885514974594116,430.6299617290497,3948130,user-SSI100C3A-48,10.6.0.87,430.6299617290497,10
11,1.3146254041700651,0.4450142342269574,44.50142342269574,1773401257,,False,11,28792536,2026-03-13_16-57-37,42.53419518470764,473.1641569137573,3948130,user-SSI100C3A-48,10.6.0.87,473.1641569137573,11
12,1.171148173086571,0.38711743021376227,38.71174302137623,1773401299,,False,12,28792536,2026-03-13_16-58-19,42.65351057052612,515.8176674842834,3948130,user-SSI100C3A-48,10.6.0.87,515.8176674842834,12
13,1.0496206293684063,0.6625029611825693,66.25029611825694,1773401342,,False,13,28792536,2026-03-13_16-59-02,42.863272190093994,558.6809396743774,3948130,user-SSI100C3A-48,10.6.0.87,558.6809396743774,13
14,0.9371015879602144,0.6498512189994117,64.98512189994116,1773401385,,False,14,28792536,2026-03-13_16-59-45,42.66038513183594,601.3413248062134,3948130,user-SSI100C3A-48,10.6.0.87,601.3413248062134,14
15,0.8372682507110365,0.8471540338276414,84.71540338276414,1773401428,,False,15,28792536,2026-03-13_17-00-28,42.68234062194824,644.0236654281616,3948130,user-SSI100C3A-48,10.6.0.87,644.0236654281616,15
16,0.7575376029448075,0.8262204872346388,82.62204872346388,1773401470,,False,16,28792536,2026-03-13_17-01-10,42.56623911857605,686.5899045467377,3948130,user-SSI100C3A-48,10.6.0.87,686.5899045467377,16
17,0.6833210444811618,0.7566389985169093,75.66389985169093,1773401513,,False,17,28792536,2026-03-13_17-01-53,42.56619429588318,729.1560988426208,3948130,user-SSI100C3A-48,10.6.0.87,729.1560988426208,17
18,0.6241937035502809,0.7669357735358306,76.69357735358307,1773401556,,False,18,28792536,2026-03-13_17-02-36,43.16280245780945,772.3189013004303,3948130,user-SSI100C3A-48,10.6.0.87,772.3189013004303,18
19,0.5725914326942328,0.7903163257465436,79.03163257465437,1773401599,,False,19,28792536,2026-03-13_17-03-19,42.65811634063721,814.9770176410675,3948130,user-SSI100C3A-48,10.6.0.87,814.9770176410675,19
20,0.5256124382669275,0.7698028731485314,76.98028731485313,1773401641,,True,20,28792536,2026-03-13_17-04-01,42.827330112457275,857.8043477535248,3948130,user-SSI100C3A-48,10.6.0.87,857.8043477535248,20
