epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,4.743507912953695,0.026942852187444744,2.6942852187444744,1773399645,,False,1,31e0500f,2026-03-13_16-30-45,52.339704751968384,52.339704751968384,3945695,user-SSI100C3A-48,10.6.0.87,52.339704751968384,1
2,3.584819131042018,0.42078192397392405,42.07819239739241,1773399696,,False,2,31e0500f,2026-03-13_16-31-36,50.30647325515747,102.64617800712585,3945695,user-SSI100C3A-48,10.6.0.87,102.64617800712585,2
3,3.0518606623736293,0.3640351521943739,36.40351521943739,1773399747,,False,3,31e0500f,2026-03-13_16-32-27,51.162673234939575,153.80885124206543,3945695,user-SSI100C3A-48,10.6.0.87,153.80885124206543,3
4,2.706491404446689,0.15689131838006876,15.689131838006876,1773399797,,False,4,31e0500f,2026-03-13_16-33-17,50.52316212654114,204.33201336860657,3945695,user-SSI100C3A-48,10.6.0.87,204.33201336860657,4
5,2.4504453364285554,0.4650925578962113,46.50925578962113,1773399848,,False,5,31e0500f,2026-03-13_16-34-08,51.0681676864624,255.40018105506897,3945695,user-SSI100C3A-48,10.6.0.87,255.40018105506897,5
6,2.2620030576532537,0.17045440917014737,17.045440917014737,1773399898,,False,6,31e0500f,2026-03-13_16-34-58,49.95934224128723,305.3595232963562,3945695,user-SSI100C3A-48,10.6.0.87,305.3595232963562,6
7,2.1172981632117067,0.2739846070578874,27.39846070578874,1773399949,,False,7,31e0500f,2026-03-13_16-35-49,50.50778341293335,355.86730670928955,3945695,user-SSI100C3A-48,10.6.0.87,355.86730670928955,7
8,2.0125571073185315,0.5306012984247346,53.06012984247346,1773399999,,False,8,31e0500f,2026-03-13_16-36-39,50.4291832447052,406.29648995399475,3945695,user-SSI100C3A-48,10.6.0.87,406.29648995399475,8
9,1.9367710242849407,0.31333964914297097,31.3339649142971,1773400050,,False,9,31e0500f,2026-03-13_16-37-30,50.336042165756226,456.632532119751,3945695,user-SSI100C3A-48,10.6.0.87,456.632532119751,9
10,1.8711236005840879,0.38711743021376227,38.71174302137623,1773400099,,False,10,31e0500f,2026-03-13_16-38-19,49.36454510688782,505.9970772266388,3945695,user-SSI100C3A-48,10.6.0.87,505.9970772266388,10
11,1.81177486780918,0.6498512189994117,64.98512189994116,1773400151,,False,11,31e0500f,2026-03-13_16-39-11,51.80264616012573,557.7997233867645,3945695,user-SSI100C3A-48,10.6.0.87,557.7997233867645,11
12,1.7522880895932516,0.21325526431994224,21.325526431994223,1773400201,,False,12,31e0500f,2026-03-13_16-40-01,50.30624032020569,608.1059637069702,3945695,user-SSI100C3A-48,10.6.0.87,608.1059637069702,12
13,1.6712651627713984,0.07962010552281934,7.962010552281934,1773400251,,False,13,31e0500f,2026-03-13_16-40-51,49.93924880027771,658.0452125072479,3945695,user-SSI100C3A-48,10.6.0.87,658.0452125072479,13
14,1.5977948475606514,0.4883086676855839,48.83086676855839,1773400301,,False,14,31e0500f,2026-03-13_16-41-41,50.094970703125,708.1401832103729,3945695,user-SSI100C3A-48,10.6.0.87,708.1401832103729,14
15,1.496421279184746,0.3573006955768721,35.73006955768721,1773400351,,False,15,31e0500f,2026-03-13_16-42-31,50.06827759742737,758.2084608078003,3945695,user-SSI100C3A-48,10.6.0.87,758.2084608078003,15
16,1.4047983908653259,0.207426599266124,20.7426599266124,1773400402,,False,16,31e0500f,2026-03-13_16-43-22,50.86388397216797,809.0723447799683,3945695,user-SSI100C3A-48,10.6.0.87,809.0723447799683,16
17,1.311921009945147,0.3302106858017974,33.021068580179744,1773400453,,False,17,31e0500f,2026-03-13_16-44-13,50.55129384994507,859.6236386299133,3945695,user-SSI100C3A-48,10.6.0.87,859.6236386299133,17
18,1.2230472978678617,0.30814916464105435,30.814916464105437,1773400503,,False,18,31e0500f,2026-03-13_16-45-03,50.450507402420044,910.0741460323334,3945695,user-SSI100C3A-48,10.6.0.87,910.0741460323334,18
19,1.1448270711754307,0.21647200687300835,21.647200687300835,1773400554,,False,19,31e0500f,2026-03-13_16-45-54,50.528995990753174,960.6031420230865,3945695,user-SSI100C3A-48,10.6.0.87,960.6031420230865,19
20,1.0771332146904686,0.18805104996621183,18.805104996621182,1773400603,,True,20,31e0500f,2026-03-13_16-46-43,49.686789989471436,1010.289932012558,3945695,user-SSI100C3A-48,10.6.0.87,1010.289932012558,20
