epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,5.742209842239601,0.10579295530711626,10.579295530711626,1773400667,,False,1,58cddab5,2026-03-13_16-47-47,14.673990726470947,14.673990726470947,3947879,user-SSI100C3A-48,10.6.0.87,14.673990726470947,1
2,4.772048547072111,0.10579295530711626,10.579295530711626,1773400680,,False,2,58cddab5,2026-03-13_16-48-00,12.471225500106812,27.14521622657776,3947879,user-SSI100C3A-48,10.6.0.87,27.14521622657776,2
3,4.342265577131999,0.10051751431381029,10.051751431381028,1773400692,,False,3,58cddab5,2026-03-13_16-48-12,12.381736993789673,39.52695322036743,3947879,user-SSI100C3A-48,10.6.0.87,39.52695322036743,3
4,4.034297263564695,0.10347493356569516,10.347493356569517,1773400704,,False,4,58cddab5,2026-03-13_16-48-24,12.368934869766235,51.89588809013367,3947879,user-SSI100C3A-48,10.6.0.87,51.89588809013367,4
5,3.7937069814562223,0.10389582034504177,10.389582034504178,1773400717,,False,5,58cddab5,2026-03-13_16-48-37,12.497716665267944,64.39360475540161,3947879,user-SSI100C3A-48,10.6.0.87,64.39360475540161,5
6,3.594840449411512,0.16178146612164387,16.178146612164387,1773400730,,False,6,58cddab5,2026-03-13_16-48-50,12.557221174240112,76.95082592964172,3947879,user-SSI100C3A-48,10.6.0.87,76.95082592964172,6
7,3.403951661022389,0.17980292520935615,17.980292520935613,1773400742,,False,7,58cddab5,2026-03-13_16-49-02,12.556747674942017,89.50757360458374,3947879,user-SSI100C3A-48,10.6.0.87,89.50757360458374,7
8,3.234931558802508,0.16909104756011034,16.909104756011033,1773400755,,False,8,58cddab5,2026-03-13_16-49-15,12.520265340805054,102.0278389453888,3947879,user-SSI100C3A-48,10.6.0.87,102.0278389453888,8
9,3.088418347824023,0.17980292520935615,17.980292520935613,1773400767,,False,9,58cddab5,2026-03-13_16-49-27,12.394410848617554,114.42224979400635,3947879,user-SSI100C3A-48,10.6.0.87,114.42224979400635,9
10,2.9580216949112748,0.16533922859351977,16.533922859351975,1773400779,,True,10,58cddab5,2026-03-13_16-49-39,12.387036800384521,126.80928659439087,3947879,user-SSI100C3A-48,10.6.0.87,126.80928659439087,10
