epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,5.541680241552528,0.09961963291431059,9.961963291431058,1773400622,,False,1,6fbf0bb8,2026-03-13_16-47-02,14.66259241104126,14.66259241104126,3947768,user-SSI100C3A-48,10.6.0.87,14.66259241104126,1
2,4.498166025548741,0.10895442669921611,10.89544266992161,1773400635,,False,2,6fbf0bb8,2026-03-13_16-47-15,12.415521144866943,27.078113555908203,3947768,user-SSI100C3A-48,10.6.0.87,27.078113555908203,2
3,4.014583297397779,0.09103129806232929,9.103129806232928,1773400647,,False,3,6fbf0bb8,2026-03-13_16-47-27,12.417903184890747,39.49601674079895,3947768,user-SSI100C3A-48,10.6.0.87,39.49601674079895,3
4,3.660627084077844,0.1553924867806802,15.539248678068022,1773400659,,False,4,6fbf0bb8,2026-03-13_16-47-39,12.413887023925781,51.90990376472473,3947768,user-SSI100C3A-48,10.6.0.87,51.90990376472473,4
5,3.3794472217559814,0.17507416555994426,17.507416555994425,1773400672,,False,5,6fbf0bb8,2026-03-13_16-47-52,12.393243789672852,64.30314755439758,3947768,user-SSI100C3A-48,10.6.0.87,64.30314755439758,5
6,3.144819817105353,0.16909104756011034,16.909104756011033,1773400684,,False,6,6fbf0bb8,2026-03-13_16-48-04,12.379308462142944,76.68245601654053,3947768,user-SSI100C3A-48,10.6.0.87,76.68245601654053,6
7,2.9239460719380403,0.37932383773712786,37.932383773712786,1773400697,,False,7,6fbf0bb8,2026-03-13_16-48-17,12.565900802612305,89.24835681915283,3947768,user-SSI100C3A-48,10.6.0.87,89.24835681915283,7
8,2.7221197287241616,0.37833804877543903,37.833804877543905,1773400709,,False,8,6fbf0bb8,2026-03-13_16-48-29,12.612917423248291,101.86127424240112,3947768,user-SSI100C3A-48,10.6.0.87,101.86127424240112,8
9,2.550170860428741,0.40819715651041083,40.819715651041086,1773400722,,False,9,6fbf0bb8,2026-03-13_16-48-42,12.574516296386719,114.43579053878784,3947768,user-SSI100C3A-48,10.6.0.87,114.43579053878784,9
10,2.392744256678411,0.40819715651041083,40.819715651041086,1773400734,,False,10,6fbf0bb8,2026-03-13_16-48-54,12.47687578201294,126.91266632080078,3947768,user-SSI100C3A-48,10.6.0.87,126.91266632080078,10
11,2.248931377982172,0.1990355855145818,19.903558551458183,1773400747,,False,11,6fbf0bb8,2026-03-13_16-49-07,12.454588651657104,139.36725497245789,3947768,user-SSI100C3A-48,10.6.0.87,139.36725497245789,11
12,2.093751295177257,0.44044494207409807,44.044494207409805,1773400759,,False,12,6fbf0bb8,2026-03-13_16-49-19,12.57307744026184,151.94033241271973,3947768,user-SSI100C3A-48,10.6.0.87,151.94033241271973,12
13,1.960284141526706,0.5584881801204962,55.84881801204962,1773400772,,False,13,6fbf0bb8,2026-03-13_16-49-32,12.551636934280396,164.49196934700012,3947768,user-SSI100C3A-48,10.6.0.87,164.49196934700012,13
14,1.8410726434366715,0.38711743021376227,38.71174302137623,1773400785,,False,14,6fbf0bb8,2026-03-13_16-49-45,12.554753065109253,177.04672241210938,3947768,user-SSI100C3A-48,10.6.0.87,177.04672241210938,14
15,1.7250530633373538,0.42709428135241706,42.70942813524171,1773400797,,False,15,6fbf0bb8,2026-03-13_16-49-57,12.568254470825195,189.61497688293457,3947768,user-SSI100C3A-48,10.6.0.87,189.61497688293457,15
16,1.6093728432908727,0.44044494207409807,44.044494207409805,1773400810,,False,16,6fbf0bb8,2026-03-13_16-50-10,12.46814775466919,202.08312463760376,3947768,user-SSI100C3A-48,10.6.0.87,202.08312463760376,16
17,1.515109426157486,0.4883086676855839,48.83086676855839,1773400822,,False,17,6fbf0bb8,2026-03-13_16-50-22,12.471567153930664,214.55469179153442,3947768,user-SSI100C3A-48,10.6.0.87,214.55469179153442,17
18,1.4073166973924867,0.5322737066490617,53.22737066490617,1773400835,,False,18,6fbf0bb8,2026-03-13_16-50-35,12.480490446090698,227.03518223762512,3947768,user-SSI100C3A-48,10.6.0.87,227.03518223762512,18
19,1.3181818579706017,0.6270395121093983,62.703951210939834,1773400847,,False,19,6fbf0bb8,2026-03-13_16-50-47,12.500198602676392,239.5353808403015,3947768,user-SSI100C3A-48,10.6.0.87,239.5353808403015,19
20,1.2390764917152515,0.38711743021376227,38.71174302137623,1773400860,,True,20,6fbf0bb8,2026-03-13_16-51-00,12.44535779953003,251.98073863983154,3947768,user-SSI100C3A-48,10.6.0.87,251.98073863983154,20
