epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,5.999874598763205,0,0.0,1773399338,,False,1,71e4d4e9,2026-03-13_16-25-38,56.59861636161804,56.59861636161804,3944968,user-SSI100C3A-48,10.6.0.87,56.59861636161804,1
2,5.7686170479745575,0.009058972474192174,0.9058972474192174,1773399390,,False,2,71e4d4e9,2026-03-13_16-26-30,52.137879610061646,108.73649597167969,3944968,user-SSI100C3A-48,10.6.0.87,108.73649597167969,2
3,5.372663573062781,0.010772994520923136,1.0772994520923136,1773399442,,False,3,71e4d4e9,2026-03-13_16-27-22,51.85701775550842,160.5935137271881,3944968,user-SSI100C3A-48,10.6.0.87,160.5935137271881,3
4,5.155412243351792,0.02328403074017382,2.328403074017382,1773399495,,False,4,71e4d4e9,2026-03-13_16-28-15,53.37544059753418,213.9689543247223,3944968,user-SSI100C3A-48,10.6.0.87,213.9689543247223,4
5,4.9947930480494644,0.047454959108258275,4.745495910825827,1773399548,,False,5,71e4d4e9,2026-03-13_16-29-08,52.57833456993103,266.5472888946533,3944968,user-SSI100C3A-48,10.6.0.87,266.5472888946533,5
6,4.871167673053163,0.02020787600735026,2.020787600735026,1773399603,,False,6,71e4d4e9,2026-03-13_16-30-03,54.85264563560486,321.3999345302582,3944968,user-SSI100C3A-48,10.6.0.87,321.3999345302582,6
7,4.7251045128793425,0.032300984447264196,3.2300984447264196,1773399655,,False,7,71e4d4e9,2026-03-13_16-30-55,52.7078332901001,374.1077678203583,3944968,user-SSI100C3A-48,10.6.0.87,374.1077678203583,7
8,4.602360337286284,0.04188681427786137,4.188681427786137,1773399707,,False,8,71e4d4e9,2026-03-13_16-31-47,51.81853270530701,425.9263005256653,3944968,user-SSI100C3A-48,10.6.0.87,425.9263005256653,8
9,4.499249019044818,0.042690024716719295,4.2690024716719295,1773399760,,False,9,71e4d4e9,2026-03-13_16-32-40,52.829577684402466,478.75587821006775,3944968,user-SSI100C3A-48,10.6.0.87,478.75587821006775,9
10,4.414022361870968,0.02146441315985081,2.146441315985081,1773399812,,True,10,71e4d4e9,2026-03-13_16-33-32,51.75346493721008,530.5093431472778,3944968,user-SSI100C3A-48,10.6.0.87,530.5093431472778,10
