epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,5.739589168253728,0.050549563039005506,5.054956303900551,1773400405,,False,1,8f82b8cb,2026-03-13_16-43-25,14.982876539230347,14.982876539230347,3947281,user-SSI100C3A-48,10.6.0.87,14.982876539230347,1
2,4.746130466461182,0.10088113178460024,10.088113178460025,1773400418,,False,2,8f82b8cb,2026-03-13_16-43-38,12.902823448181152,27.8856999874115,3947281,user-SSI100C3A-48,10.6.0.87,27.8856999874115,2
3,4.309035923170007,0.10217750620228011,10.217750620228012,1773400431,,False,3,8f82b8cb,2026-03-13_16-43-51,12.688797235488892,40.57449722290039,3947281,user-SSI100C3A-48,10.6.0.87,40.57449722290039,3
4,3.995954526219391,0.10628433110789859,10.628433110789858,1773400444,,False,4,8f82b8cb,2026-03-13_16-44-04,12.716374397277832,53.29087162017822,3947281,user-SSI100C3A-48,10.6.0.87,53.29087162017822,4
5,3.748436331173072,0.10389582034504177,10.389582034504178,1773400457,,False,5,8f82b8cb,2026-03-13_16-44-17,12.800218343734741,66.09108996391296,3947281,user-SSI100C3A-48,10.6.0.87,66.09108996391296,5
6,3.5354099135467973,0.16634396772037569,16.63439677203757,1773400469,,False,6,8f82b8cb,2026-03-13_16-44-29,12.872925043106079,78.96401500701904,3947281,user-SSI100C3A-48,10.6.0.87,78.96401500701904,6
7,3.3363575129117367,0.16667816983764752,16.66781698376475,1773400482,,False,7,8f82b8cb,2026-03-13_16-44-42,12.734555959701538,91.69857096672058,3947281,user-SSI100C3A-48,10.6.0.87,91.69857096672058,7
8,3.164690329832731,0.16634396772037569,16.63439677203757,1773400495,,False,8,8f82b8cb,2026-03-13_16-44-55,12.717015743255615,104.4155867099762,3947281,user-SSI100C3A-48,10.6.0.87,104.4155867099762,8
9,3.0112189198461707,0.17861280533248552,17.861280533248554,1773400508,,False,9,8f82b8cb,2026-03-13_16-45-08,12.737271547317505,117.1528582572937,3947281,user-SSI100C3A-48,10.6.0.87,117.1528582572937,9
10,2.8711483478546143,0.16533922859351977,16.533922859351975,1773400521,,False,10,8f82b8cb,2026-03-13_16-45-21,12.913002729415894,130.0658609867096,3947281,user-SSI100C3A-48,10.6.0.87,130.0658609867096,10
11,2.735762560425173,0.40819715651041083,40.819715651041086,1773400533,,False,11,8f82b8cb,2026-03-13_16-45-33,12.891279458999634,142.95714044570923,3947281,user-SSI100C3A-48,10.6.0.87,142.95714044570923,11
12,2.600023004743788,0.40819715651041083,40.819715651041086,1773400546,,False,12,8f82b8cb,2026-03-13_16-45-46,12.887190341949463,155.8443307876587,3947281,user-SSI100C3A-48,10.6.0.87,155.8443307876587,12
13,2.4841305460906833,0.42081994526756683,42.08199452675668,1773400559,,False,13,8f82b8cb,2026-03-13_16-45-59,12.81365704536438,168.65798783302307,3947281,user-SSI100C3A-48,10.6.0.87,168.65798783302307,13
14,2.36715953534352,0.37932383773712786,37.932383773712786,1773400572,,False,14,8f82b8cb,2026-03-13_16-46-12,12.777166843414307,181.43515467643738,3947281,user-SSI100C3A-48,10.6.0.87,181.43515467643738,14
15,2.2679113932853734,0.42081994526756683,42.08199452675668,1773400585,,False,15,8f82b8cb,2026-03-13_16-46-25,12.753759145736694,194.18891382217407,3947281,user-SSI100C3A-48,10.6.0.87,194.18891382217407,15
16,2.1583421172727135,0.3687758771952656,36.87758771952656,1773400597,,False,16,8f82b8cb,2026-03-13_16-46-37,12.768113136291504,206.95702695846558,3947281,user-SSI100C3A-48,10.6.0.87,206.95702695846558,16
17,2.058892357176629,0.589770496293735,58.977049629373504,1773400610,,False,17,8f82b8cb,2026-03-13_16-46-50,12.82677960395813,219.7838065624237,3947281,user-SSI100C3A-48,10.6.0.87,219.7838065624237,17
18,1.9704387896302817,0.44044494207409807,44.044494207409805,1773400623,,False,18,8f82b8cb,2026-03-13_16-47-03,12.741212844848633,232.52501940727234,3947281,user-SSI100C3A-48,10.6.0.87,232.52501940727234,18
19,1.8786639193981742,0.42081994526756683,42.08199452675668,1773400636,,False,19,8f82b8cb,2026-03-13_16-47-16,12.753276824951172,245.2782962322235,3947281,user-SSI100C3A-48,10.6.0.87,245.2782962322235,19
20,1.8141964115382392,0.42709428135241706,42.70942813524171,1773400649,,True,20,8f82b8cb,2026-03-13_16-47-29,12.74626088142395,258.02455711364746,3947281,user-SSI100C3A-48,10.6.0.87,258.02455711364746,20
