epoch,loss,bleu,bleu_percent,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
1,6.036633416469103,0,0.0,1773398512,,False,1,db78ba0d,2026-03-13_16-11-52,28.76106882095337,28.76106882095337,3941955,user-SSI100C3A-48,10.6.0.87,28.76106882095337,1
2,5.904081959989977,0,0.0,1773398539,,False,2,db78ba0d,2026-03-13_16-12-19,26.933890342712402,55.69495916366577,3941955,user-SSI100C3A-48,10.6.0.87,55.69495916366577,2
3,5.891515848423031,0,0.0,1773398565,,False,3,db78ba0d,2026-03-13_16-12-45,25.872125148773193,81.56708431243896,3941955,user-SSI100C3A-48,10.6.0.87,81.56708431243896,3
4,5.885198316042994,0,0.0,1773398591,,False,4,db78ba0d,2026-03-13_16-13-11,26.144859790802002,107.71194410324097,3941955,user-SSI100C3A-48,10.6.0.87,107.71194410324097,4
5,5.884016131661995,0,0.0,1773398617,,False,5,db78ba0d,2026-03-13_16-13-37,25.386300563812256,133.09824466705322,3941955,user-SSI100C3A-48,10.6.0.87,133.09824466705322,5
6,5.8766071224905385,0,0.0,1773398642,,False,6,db78ba0d,2026-03-13_16-14-02,25.171382188796997,158.26962685585022,3941955,user-SSI100C3A-48,10.6.0.87,158.26962685585022,6
7,5.76663409595628,0,0.0,1773398670,,False,7,db78ba0d,2026-03-13_16-14-30,28.61773133277893,186.88735818862915,3941955,user-SSI100C3A-48,10.6.0.87,186.88735818862915,7
8,5.7413435686587135,0.0018682251092554337,0.18682251092554336,1773398699,,False,8,db78ba0d,2026-03-13_16-14-59,28.843952655792236,215.7313108444214,3941955,user-SSI100C3A-48,10.6.0.87,215.7313108444214,8
9,5.7244513363872835,0.001570983797259874,0.1570983797259874,1773398728,,False,9,db78ba0d,2026-03-13_16-15-28,28.993913173675537,244.72522401809692,3941955,user-SSI100C3A-48,10.6.0.87,244.72522401809692,9
10,5.7072432162397995,0.001570983797259874,0.1570983797259874,1773398757,,False,10,db78ba0d,2026-03-13_16-15-57,29.087231159210205,273.81245517730713,3941955,user-SSI100C3A-48,10.6.0.87,273.81245517730713,10
11,5.697797929980853,0.001570983797259874,0.1570983797259874,1773398786,,False,11,db78ba0d,2026-03-13_16-16-26,28.81280493736267,302.6252601146698,3941955,user-SSI100C3A-48,10.6.0.87,302.6252601146698,11
12,5.685560897245246,0.001570983797259874,0.1570983797259874,1773398815,,False,12,db78ba0d,2026-03-13_16-16-55,29.268136501312256,331.89339661598206,3941955,user-SSI100C3A-48,10.6.0.87,331.89339661598206,12
13,5.677713994541122,0.001570983797259874,0.1570983797259874,1773398844,,False,13,db78ba0d,2026-03-13_16-17-24,28.880104303359985,360.77350091934204,3941955,user-SSI100C3A-48,10.6.0.87,360.77350091934204,13
14,5.677304323302631,0,0.0,1773398874,,False,14,db78ba0d,2026-03-13_16-17-54,29.29120683670044,390.0647077560425,3941955,user-SSI100C3A-48,10.6.0.87,390.0647077560425,14
15,5.668857995880718,0.0018682251092554337,0.18682251092554336,1773398903,,False,15,db78ba0d,2026-03-13_16-18-23,29.374464511871338,419.4391722679138,3941955,user-SSI100C3A-48,10.6.0.87,419.4391722679138,15
16,5.666636262621198,0.001570983797259874,0.1570983797259874,1773398932,,False,16,db78ba0d,2026-03-13_16-18-52,29.090512990951538,448.52968525886536,3941955,user-SSI100C3A-48,10.6.0.87,448.52968525886536,16
17,5.666437961864703,0.001570983797259874,0.1570983797259874,1773398960,,False,17,db78ba0d,2026-03-13_16-19-20,27.70283794403076,476.2325232028961,3941955,user-SSI100C3A-48,10.6.0.87,476.2325232028961,17
18,5.6668689510724155,0.001570983797259874,0.1570983797259874,1773398988,,False,18,db78ba0d,2026-03-13_16-19-48,28.430062770843506,504.6625859737396,3941955,user-SSI100C3A-48,10.6.0.87,504.6625859737396,18
19,5.66377781436172,0,0.0,1773399018,,False,19,db78ba0d,2026-03-13_16-20-18,29.560869693756104,534.2234556674957,3941955,user-SSI100C3A-48,10.6.0.87,534.2234556674957,19
20,5.6593675648040405,0.001570983797259874,0.1570983797259874,1773399046,,True,20,db78ba0d,2026-03-13_16-20-46,27.969128131866455,562.1925837993622,3941955,user-SSI100C3A-48,10.6.0.87,562.1925837993622,20
